time,oveFan_u,oveHeaPumY_u,ovePum_u,oveTSet_u,reaTZon_y,weaSta_reaWeaTDryBul_y,weaSta_reaWeaHDirNor_y,weaSta_reaWeaHGloHor_y,weaSta_reaWeaNTot_y,weaSta_reaWeaRelHum_y,weaSta_reaWeaSolAlt_y,InternalGainsCon[1],InternalGainsLat[1],InternalGainsRad[1],Occupancy[1],LowerSetp[1],UpperSetp[1],TDryBul,HDirNor,HGloHor,nTot,relHum,solAlt
13224600.0,1.0,0.8219692709172421,1.0,294.3500000000002,294.28549685127416,285.04090909090905,0.0,0.0,0.08374999999999999,0.79225,-0.28281878280119455,146.0,225.0,219.0,5.0,294.15,297.15,285.040909091,0.0,0.0,0.08375,0.79225,-0.282818782801
13225500.0,1.0,0.8236224285550003,1.0,294.3500000000002,294.3062046634351,284.8778409090909,0.0,0.0,0.08921875,0.81646875,-0.2728993692108712,146.0,225.0,219.0,5.0,294.15,297.15,284.87784090900004,0.0,0.0,0.08921875,0.81646875,-0.272899369211
13226400.0,1.0,0.8236224285550003,1.0,294.3500000000002,294.39387454264386,284.75,0.0,0.0,0.1,0.8300000000000001,-0.2605210014243855,146.0,225.0,219.0,5.0,294.15,297.15,284.75,0.0,0.0,0.1,0.83,-0.260521001424
13227300.0,1.0,0.8236224285550003,1.0,294.3500000000002,294.5302577936176,284.71640625,0.0,0.0,0.1627130681818182,0.8335416666666667,-0.24575916515965135,146.0,225.0,219.0,5.0,294.15,297.15,284.71640625,0.0,0.0,0.162713068182,0.833541666667,-0.24575916516
13228200.0,1.0,0.8236224285550003,1.0,294.3500000000002,294.7001917181355,284.76874999999995,0.0,0.0,0.28806818181818183,0.8352777777777778,-0.22870046505184627,146.0,225.0,219.0,5.0,294.15,297.15,284.76875,0.0,0.0,0.288068181818,0.8352777777779999,-0.22870046505199998
13229100.0,1.0,0.8236224285550003,1.0,294.3500000000002,294.89044936644575,284.83671875,0.0,0.0,0.41938920454545453,0.836875,-0.2094406104156783,146.0,225.0,219.0,5.0,294.15,297.15,284.83671875,0.0,0.0,0.41938920454499995,0.836875,-0.209440610416
13230000.0,1.0,0.8236224285550003,1.0,294.3500000000002,295.09132324464537,284.84999999999997,0.0,0.0,0.5,0.84,-0.18808238866302718,146.0,225.0,219.0,5.0,294.15,297.15,284.85,0.0,0.0,0.5,0.84,-0.188082388663
13230900.0,1.0,0.27876541574226443,1.0,294.3500000000002,295.28497620076587,284.76171875,0.0,0.0,0.45893110795454545,0.8456250000000001,-0.1647337162470559,146.0,225.0,219.0,5.0,294.15,297.15,284.76171875,0.0,0.0,0.45893110795500003,0.845625,-0.164733716247
13231800.0,1.0,0.27755192573599996,1.0,294.3500000000002,295.4473781234276,284.61875,0.0,0.0,0.32911931818181817,0.8522222222222223,-0.1395058386847876,146.0,225.0,219.0,5.0,294.15,297.15,284.61875,0.0,0.0,0.329119318182,0.8522222222220001,-0.139505838685
13232700.0,1.0,0.27755192573599996,1.0,294.3500000000002,295.5532193854547,284.49140624999995,0.0,0.0,0.2097478693181818,0.8577083333333333,-0.11251173095449185,146.0,225.0,219.0,5.0,294.15,297.15,284.49140625,0.0,0.0,0.209747869318,0.8577083333329999,-0.112511730954
